top_n,algorithm,dataset,scene,synonyms,depictions,vis_sim,clutter,incorrect,missing
top_1,openscene,replica,office4,0.0,0.0,0.0,0.07460414871725515,0.8539941761864346,0.07140167509652551
top_1,openscene,replica,room0,0.0,0.0,0.0,0.00018720441408302663,0.926786211033965,0.07302658455184606
top_1,openscene,replica,room1,0.0,0.0,0.0050743104403332155,0.08589600504380235,0.8686066128043911,0.040423071711477375
top_1,openscene,replica,room2,0.0031308367917213505,0.0,0.024182117469877844,0.065516249029049,0.833639818472248,0.07353097823709313
top_10,bare,hm3d,00824,0.25331124853150183,0.005646760508436001,0.006272536165663768,0.17445124313255683,0.3221432392464798,0.23817497241558527
top_10,bare,hm3d,00829,0.2514002004158453,0.025540995351964697,0.010065837911841524,0.13836258451996966,0.344858231784397,0.2297721500162156
top_10,bare,hm3d,00843,0.22662936027737943,0.0,0.025789942698837755,0.13965827852510515,0.34195298734248414,0.26596943115656285
top_10,bare,hm3d,00847,0.29518560709711006,0.0,0.012926836587652764,0.14870357732186637,0.31692295019560157,0.22626102879743917
top_10,bare,hm3d,00873,0.20164637996338097,0.0046804334994193795,0.017612631648974284,0.21385513988710111,0.3263240822058303,0.23588133279527682
top_10,bare,hm3d,00877,0.23232589021957714,0.005085705894254596,0.019045446632117158,0.20424471655922344,0.3353324621836867,0.20396577851131054
top_10,bare,hm3d,00890,0.29230404126948817,0.0029407981615253813,0.02171833448336486,0.15863717097147137,0.32400097262453553,0.20039868248961104
top_10,bare,replica,office0,0.321255096797852,0.00040749796251018754,0.049641770841309905,0.4437733839686801,0.08354772504185391,0.10137452538783648
top_10,bare,replica,office1,0.36750894982799304,0.0,0.10377014600169901,0.17845639724786683,0.26388033886933804,0.08638416805308739
top_10,bare,replica,office2,0.17591867567932565,0.0,0.12222063678695105,0.1338665664871487,0.47144172483696006,0.09655239620964393
top_10,bare,replica,office3,0.46670284264190465,0.0006410256410256409,0.03118396182068869,0.1877599177874488,0.1802128530691749,0.13349939903987357
top_10,bare,replica,office4,0.2491164486439766,0.0,0.05865770130074938,0.29841438467367737,0.2242092741852836,0.16960219119629624
top_10,bare,replica,room0,0.35657662746688534,0.00020693059903849936,0.06556833795883213,0.31044324627610415,0.14899463363599447,0.11821022406325692
top_10,bare,replica,room1,0.30089106159206624,0.004131545516836579,0.18138573863147064,0.24071945589940785,0.18546450035414014,0.08740769800611999
top_10,bare,replica,room2,0.42069297910635645,0.0,0.056740388543485246,0.15183586705934457,0.243302650003561,0.12742811528720072
top_10,bare,scannetpp,0a76e06478,0.108414626627994,0.011490104295396007,0.061494543184782986,0.15092735198645651,0.2933552328739391,0.37431814103092703
top_10,bare,scannetpp,0a7cc12c0e,0.1439833812670348,0.003414311179017059,0.05363873574478575,0.17297191500606843,0.31402916135319214,0.31196249544954724
top_10,bare,scannetpp,1f7cbbdde1,0.1825992601508448,0.002797936124278415,0.02746334209413782,0.3074875000932276,0.24487818672300823,0.2347737748146148
top_10,bare,scannetpp,49a82360aa,0.11272716220910287,0.0,0.05456375476986252,0.24609064994388863,0.1968771597329482,0.38974127334354197
top_10,bare,scannetpp,4c5c60fa76,0.12259550483396435,0.0034401218793877453,0.024596674191570963,0.0980957262269171,0.38589499591127635,0.3653769769574615
top_10,bare,scannetpp,8a35ef3cfe,0.21219731883479281,0.0,0.02414194798401975,0.025197485656951353,0.2404321041191794,0.49803114340538895
top_10,bare,scannetpp,c0f5742640,0.0956164473683937,0.0028775647330340527,0.018581002791693463,0.23535124801134816,0.192168200512882,0.45540553658324967
top_10,bare,scannetpp,fd361ab85f,0.2242656236042265,0.0,0.0008223008265556437,0.23810097329343663,0.16893110777789333,0.36787999449740444
top_10,concept-fusion,hm3d,00824,0.3098769149403904,0.010224911521302124,0.016556453519766656,0.12659996003510246,0.4924531929322929,0.04428856705110282
top_10,concept-fusion,hm3d,00829,0.25402687121942913,0.01933991440213942,0.06326089615853765,0.11004174988485442,0.49844253951935386,0.0548880288157629
top_10,concept-fusion,hm3d,00843,0.23223541550090113,0.0057414692906212995,0.03043441707338151,0.09379728242325173,0.5928597123078581,0.04493170340334827
top_10,concept-fusion,hm3d,00847,0.31193201961921696,0.002256615551168737,0.02070518022107441,0.09953563834462512,0.37537398646538167,0.19019655979849429
top_10,concept-fusion,hm3d,00873,0.32945518311705985,0.021513692882710652,0.03465838052318927,0.10918187868343054,0.45417496808413915,0.05101589670953104
top_10,concept-fusion,hm3d,00877,0.3079120870380722,0.01889187947427444,0.017039097645511713,0.09535131945322002,0.46754306793772704,0.09326254845095563
top_10,concept-fusion,hm3d,00890,0.30762220726082756,0.006870322812593071,0.05670006664923904,0.08235174321666036,0.46576707528543626,0.08068858477530211
top_10,concept-fusion,replica,office0,0.37431934546340995,0.023906624216593883,0.05586599164191587,0.2662099582200985,0.2786172453065016,0.0010808351515085217
top_10,concept-fusion,replica,office1,0.40363570914796265,0.015685936647425396,0.21402217928340656,0.11637547531816361,0.24557451828893434,0.004706181314048114
top_10,concept-fusion,replica,office2,0.3426132049547188,0.0037587841150514755,0.07764682693311159,0.19280913563465232,0.38045686755084757,0.0027151808117183503
top_10,concept-fusion,replica,office3,0.3114817793542212,0.004100009579461646,0.09670631523745529,0.2345398139164081,0.34979701189561996,0.0033750700169156993
top_10,concept-fusion,replica,office4,0.397216525938592,0.013233408940791364,0.06670535189756985,0.21654987352271635,0.30383143909036203,0.002463400609958473
top_10,concept-fusion,replica,room0,0.35370605702874014,0.021532147716675144,0.10488907879493452,0.2362815004298934,0.26792972361253037,0.015661492417331557
top_10,concept-fusion,replica,room1,0.5233926107605336,0.030433814346925044,0.12139006335346311,0.1374024404890836,0.18576737630804996,0.0016136947419214604
top_10,concept-fusion,replica,room2,0.4878123360821924,0.0030998416207161455,0.06793627956649333,0.16818995586600266,0.26547504073734546,0.007486546127182818
